tp,fp,fn,tn,precision,recall,f_measure,mcc
14,0,0,3426,1.0,1.0,1.0,1.0
11,0,0,3429,1.0,1.0,1.0,1.0
11,0,0,3429,1.0,1.0,1.0,1.0
10,0,0,3430,1.0,1.0,1.0,1.0
2,0,9,3429,1.0,0.18181818181818182,0.3076923076923077,0.4258429499139708
12,0,0,3428,1.0,1.0,1.0,1.0
19,0,0,3421,1.0,1.0,1.0,1.0
19,0,0,3421,1.0,1.0,1.0,1.0
19,0,0,3421,1.0,1.0,1.0,1.0
19,0,0,3421,1.0,1.0,1.0,1.0
17,0,1,3422,1.0,0.9444444444444444,0.9714285714285714,0.9716833502358617
18,0,0,3422,1.0,1.0,1.0,1.0
18,0,0,3422,1.0,1.0,1.0,1.0
10,0,1,3429,1.0,0.9090909090909091,0.9523809523809523,0.953323590398109
31,0,0,3409,1.0,1.0,1.0,1.0
11,0,0,3429,1.0,1.0,1.0,1.0
11,1,0,3428,0.9166666666666666,1.0,0.9565217391304348,0.9572874902407936
10,1,0,3429,0.9090909090909091,1.0,0.9523809523809523,0.953323590398109
17,1,0,3422,0.9444444444444444,1.0,0.9714285714285714,0.9716833502358617
17,0,0,3423,1.0,1.0,1.0,1.0
16,0,1,3423,1.0,0.9411764705882353,0.9696969696969697,0.9700008217947925
17,0,0,3423,1.0,1.0,1.0,1.0
11,0,0,3429,1.0,1.0,1.0,1.0
24,0,0,3416,1.0,1.0,1.0,1.0
24,0,0,3416,1.0,1.0,1.0,1.0
12,1,0,3427,0.9230769230769231,1.0,0.9600000000000001,0.9606287771186212
14,0,0,3426,1.0,1.0,1.0,1.0
13,0,0,3427,1.0,1.0,1.0,1.0
11,0,0,3429,1.0,1.0,1.0,1.0
14,0,0,3426,1.0,1.0,1.0,1.0
6,0,4,3430,1.0,0.6,0.7499999999999999,0.7741454040303064
21,0,0,3419,1.0,1.0,1.0,1.0
20,2,0,3418,0.9090909090909091,1.0,0.9523809523809523,0.953183758244091
19,0,0,3421,1.0,1.0,1.0,1.0
18,0,0,3422,1.0,1.0,1.0,1.0
16,0,1,3423,1.0,0.9411764705882353,0.9696969696969697,0.9700008217947925
10,0,0,3430,1.0,1.0,1.0,1.0
10,0,0,3430,1.0,1.0,1.0,1.0
8,1,2,3429,0.8888888888888888,0.8,0.8421052631578948,0.8428438725138306
11,0,0,3429,1.0,1.0,1.0,1.0
13,1,0,3426,0.9285714285714286,1.0,0.962962962962963,0.9634835084469433
17,0,0,3423,1.0,1.0,1.0,1.0
17,1,0,3422,0.9444444444444444,1.0,0.9714285714285714,0.9716833502358617
10,0,0,3430,1.0,1.0,1.0,1.0
10,0,0,3430,1.0,1.0,1.0,1.0
10,0,0,3430,1.0,1.0,1.0,1.0
7,1,5,3427,0.875,0.5833333333333334,0.7000000000000001,0.7136609812682828
7,2,6,3425,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.6460718899151527
5,0,8,3427,1.0,0.38461538461538464,0.5555555555555556,0.619451070110556
4,0,8,3428,1.0,0.3333333333333333,0.5,0.5766777584556214
13,0,0,3427,1.0,1.0,1.0,1.0
9,2,2,3427,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8175985577560381
14,0,0,3426,1.0,1.0,1.0,1.0
10,1,2,3427,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.8699567125164823
8,2,4,3426,0.8,0.6666666666666666,0.7272727272727272,0.7294448679802689
8,1,4,3427,0.8888888888888888,0.6666666666666666,0.761904761904762,0.7691270395507103
8,2,4,3426,0.8,0.6666666666666666,0.7272727272727272,0.7294448679802689
4,2,8,3426,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.4701681395528742
4,0,8,3428,1.0,0.3333333333333333,0.5,0.5766777584556214
8,1,3,3428,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.8034735598678465
16,0,0,3424,1.0,1.0,1.0,1.0
15,0,0,3425,1.0,1.0,1.0,1.0
17,0,0,3423,1.0,1.0,1.0,1.0
24,0,0,3416,1.0,1.0,1.0,1.0
24,0,0,3416,1.0,1.0,1.0,1.0
24,0,0,3416,1.0,1.0,1.0,1.0
24,0,0,3416,1.0,1.0,1.0,1.0
14,0,0,3426,1.0,1.0,1.0,1.0
14,0,0,3426,1.0,1.0,1.0,1.0
9,0,1,3430,1.0,0.9,0.9473684210526316,0.9485450362559954
14,1,0,3425,0.9333333333333333,1.0,0.9655172413793104,0.9659507786586252
